sa	525927
ang	234799
nga	225344
ug	169304
mga	151701
iyang	55362
ka	50447
ni	43013
si	36855
siya	33267
dili	33243
kini	28212
ilang	26148
na	26007
jehova	25448
kon	25188
diyos	25044
kay	24448
imong	23326
usa	22641
sila	21482
apan	21309
pa	20672
atong	19175
wala	18701
niini	18532
akong	17874
aron	17618
diha	17076
tawo	16926
mao	16427
kang	16186
gikan	13657
kaniya	13551
tungod	13389
usab	12783
ko	12750
anak	12523
o	11605
og	11578
alang	11528
ako	11169
bisan	11145
uban	11108
ngadto	10931
niya	10897
bahin	10842
maong	10580
maoy	10407
walay	10093
jesus	9940
kita	9525
miingon	9380
diin	9354
tanang	9064
lang	8907
yuta	8905
ba	8875
pinaagi	8859
tanan	8723
kanila	8551
katawhan	8476
unsay	8363
bibliya	8268
busa	8176
dihang	8080
karon	7967
dios	7714
adlaw	7707
paagi	7432
butang	7051
niining	6908
gayod	6889
kinabuhi	6832
kamo	6806
niana	6800
sama	6786
unsang	6712
kining	6630
inyong	6616
man	6579
pulong	6558
ingon	6547
kanimo	6543
nato	6321
didto	6177
kanako	6118
amahan	6064
panahon	6060
ikaw	6022
niadtong	5831
mas	5648
nila	5533
lamang	5502
maayong	5331
mahimong	5303
unsa	5284
kanato	5252
balay	5209
kaugalingon	5032
may	4990
unya	4774
kaayo	4723
hangtod	4689
tuig	4681
duha	4649
hari	4592
nimo	4587
samtang	4504
kinsa	4435
ra	4345
babaye	4330
daghan	4294
nganong	4265
lalaki	4250
adunay	4236
kana	4234
pipila	4116
dapit	4111
kaninyo	4099
maayo	4065
daghang	4063
nag-ingon	3989
espiritu	3920
ubang	3909
matag	3877
tibuok	3853
gingharian	3847
pagtuo	3823
dakong	3807
mo	3735
igsoon	3724
gugma	3691
kasingkasing	3678
dinhi	3671
sab	3651
ingong	3647
anaa	3645
di	3610
wa	3605
tinuod	3562
batok	3535
ngalan	3454
sumala	3448
laing	3411
langit	3403
nako	3323
kamot	3321
labing	3281
dayon	3210
sulod	3207
pablo	3185
israel	3165
unang	3135
atubangan	3091
dunay	3061
lawas	3043
kalibotan	3042
siyudad	3029
biktima	3016
angay	2951
gusto	2930
balaod	2913
kamatuoran	2879
juan	2877
ta	2872
nakita	2867
gawas	2844
gyod	2843
ninyo	2842
pamilya	2839
buhat	2838
niyang	2836
kinahanglang	2835
nan	2821
kadtong	2815
makita	2784
mahimo	2779
gayud	2768
hinungdan	2757
matod	2736
bata	2732
pero	2721
asawa	2703
kun	2702
pag-ampo	2683
dugang	2648
kanunay	2637
unta	2620
human	2617
kamatayon	2595
sala	2572
ayaw	2568
bag-ong	2534
giingon	2503
